,USA ACTUAL,USA DEAD,USA DEATH RATE,USA NAT LOG,CANADA ACTUAL,CANADA DEAD,CANADA DEATH RATE,CAN DAY DELTA,CAN INFL PNT,CANADA NAT LOG,ONTARIO,ONT DAY DELTA,ONT INFL PNT,ONT NAL LOG,NS
2020-05-01,1131452,65776,0.05813415,0.032726,55061,3507,0.0637,1825,1.11,0.0337,16608,421,0.9,0.0257,959
2020-05-02,1160585,67441,0.058109488,0.025422,56714,3656,0.645,1653,0.91,0.02958,17119,511,1.2,0.0303,963
2020-05-03,1187387,68570,0.05775,0.022831,59474,3774,0.06346,2760,1.6696914700544465,0.047518,17553,434,0.8493150684931506,0.025,971
2020-05-04,1212835,69921,0.05765,0.021205,60772,3981,0.06551,1298,0.4702898550724638,0.02159,17923,370,0.8525345622119815,0.0209,985
2020-05-05,1237633,72271,0.05839,0.02024,62046,4166,0.06714,1274,0.9815100154083205,0.020747,18310,387,1.045945945945946,0.0214,991
